,name,position,year_end,smallname
3221,Jakob Poeltl,C,2018,J. Poeltl
3228,Quincy Pondexter,G-F,2018,Q. Pondexter
3236,Otto Porter,F,2018,O. Porter
3239,Bobby Portis,F,2018,B. Portis
3241,Kristaps Porzingis,F-C,2018,K. Porzingis
3248,Dwight Powell,F-C,2018,D. Powell
3251,Norman Powell,G,2018,N. Powell
3253,Alex Poythress,F,2018,A. Poythress
3266,Ronnie Price,G,2017,R. Price
3279,Jacob Pullen,G,2018,J. Pullen
3281,Zhou Qi,F-C,2018,Z. Qi
3282,Tim Quarterman,G,2017,T. Quarterman
3286,Ivan Rabb,F,2018,I. Rabb
3308,Chasson Randle,G,2017,C. Randle
3309,Julius Randle,F-C,2018,J. Randle
3312,Zach Randolph,F-C,2018,Z. Randolph
3337,J.J. Redick,G,2018,J. Redick
3342,Willie Reed,F-C,2018,W. Reed
3374,Josh Richardson,G,2018,J. Richardson
3375,Malachi Richardson,G,2018,M. Richardson
3400,Austin Rivers,G,2018,A. Rivers
3405,Andre Roberson,G-F,2018,A. Roberson
3411,Brian Roberts,G,2017,B. Roberts
3430,Glenn Robinson,G-F,2017,G. Robinson
3440,Thomas Robinson,F,2017,T. Robinson
3452,Sergio Rodriguez,G,2017,S. Rodriguez
3467,Rajon Rondo,G,2018,R. Rondo
3470,Derrick Rose,G,2018,D. Rose
3479,Terrence Ross,F-G,2018,T. Ross
3496,Terry Rozier,G,2018,T. Rozier
3497,Ricky Rubio,G,2018,R. Rubio
3501,Damjan Rudez,F,2017,D. Rudez
3511,Brandon Rush,G-F,2017,B. Rush
3517,D'Angelo Russell,G,2018,D. Russell
3524,Domantas Sabonis,F-C,2018,D. Sabonis
3534,JaKarr Sampson,G-F,2018,J. Sampson
3542,Larry Sanders,C-F,2017,L. Sanders
3550,Dario Saric,F,2018,D. Saric
3553,Tomas Satoransky,G,2018,T. Satoransky
3589,Dennis Schroder,G,2018,D. Schroder
3594,Luis Scola,F,2017,L. Scola
3602,Mike Scott,F,2018,M. Scott
3614,Thabo Sefolosha,G-F,2018,T. Sefolosha
3618,Wayne Selden,G-F,2018,W. Selden
3627,Kevin Seraphin,F,2017,K. Seraphin
3629,Ramon Sessions,G,2018,R. Sessions
3666,Iman Shumpert,G,2018,I. Shumpert
3668,Pascal Siakam,F,2018,P. Siakam
3682,Ben Simmons,G-F,2018,B. Simmons
3688,Jonathon Simmons,G-F,2018,J. Simmons
3689,Kobi Simmons,G,2018,K. Simmons
3701,Kyle Singler,F,2018,K. Singler
3724,Marcus Smart,G,2018,M. Smart
3740,Dennis Smith,G,2018,D. Smith
3751,Ish Smith,G,2018,I. Smith
3752,J.R. Smith,G-F,2018,J. Smith
3754,Jason Smith,F-C,2018,J. Smith
3759,Josh Smith,F,2018,J. Smith
3789,Tony Snell,G-F,2018,T. Snell
3813,Marreese Speights,C-F,2018,M. Speights
3819,Tiago Splitter,F-C,2017,T. Splitter
3836,Nik Stauskas,G,2018,N. Stauskas
3845,Lance Stephenson,G-F,2018,L. Stephenson
3867,Jarnell Stokes,F-C,2017,J. Stokes
3871,Diamond Stone,C,2017,D. Stone
3873,Julyan Stone,G,2018,J. Stone
3891,Rodney Stuckey,G,2017,R. Stuckey
3895,Jared Sullinger,F,2017,J. Sullinger
3908,Caleb Swanigan,F,2018,C. Swanigan
3930,Jayson Tatum,F,2018,J. Tatum
3931,Edy Tavares,C,2017,E. Tavares
3937,Isaiah Taylor,G,2018,I. Taylor
3951,Jeff Teague,G,2018,J. Teague
3953,Mirza Teletovic,F,2018,M. Teletovic
3956,Garrett Temple,G,2018,G. Temple
3957,Milos Teodosic,G,2018,M. Teodosic
3962,Jason Terry,G,2018,J. Terry
3966,Daniel Theis,C,2018,D. Theis
3978,Isaiah Thomas,G,2017,I. Thomas
3987,Lance Thomas,F,2018,L. Thomas
4002,Hollis Thompson,G-F,2017,H. Thompson
4007,Klay Thompson,G-F,2018,K. Thompson
4013,Tristan Thompson,F-C,2018,T. Thompson
4019,Marcus Thornton,G,2017,M. Thornton
4020,Sindarius Thornwell,G,2018,S. Thornwell
4032,Mike Tobey,C,2017,M. Tobey
4036,Anthony Tolliver,F-C,2018,A. Tolliver
4050,Axel Toupane,G-F,2017,A. Toupane
4055,Karl-Anthony Towns,C-F,2018,K. Towns
4075,P.J. Tucker,F,2018,P. Tucker
